id,fecha,titulo,descripcion
POST-001,2026-03-02T09:00:00,Resultados primer trimestre 2026,"Compartimos los resultados del primer trimestre: superamos las metas de expansion en un 18% gracias al compromiso de todos los equipos. Orgulloso de cada uno."
POST-002,2026-03-05T10:30:00,Nuevo plan de bienestar corporativo,"La empresa lanza el nuevo plan de bienestar 2026 con actividades de salud mental y fisica. Los inscribira automaticamente el area de talento humano. Revisen sus correos."
POST-003,2026-03-10T08:15:00,Capacitacion en herramientas digitales,"Comparto el enlace de inscripcion a las capacitaciones en Microsoft 365 que iniciaremos el 20 de marzo. La asistencia es obligatoria para todos los equipos sin excepcion."
POST-004,2026-03-15T14:00:00,Recordatorio reunion de seguimiento,Este jueves a las 3 p.m. tenemos la reunion de seguimiento del plan operativo. Favor confirmar asistencia por correo antes del mediodia.
POST-005,2026-03-20T11:00:00,Felicitaciones equipo Pacifico,"Quiero reconocer el excelente trabajo del equipo de la regional Pacifico en el cierre de la ultima auditoria. Resultados sobresalientes, un orgullo para la empresa."
POST-006,2026-03-25T09:45:00,Protocolo de seguridad actualizado,"Recordamos que el protocolo de seguridad informatica fue actualizado. Favor revisarlo en la intranet antes del 31 de marzo, aplica para toda la organizacion."
POST-007,2026-04-01T08:00:00,Convocatoria mentoria interna,"Abrimos la convocatoria para el programa de mentoria interna del segundo trimestre. Pueden inscribirse como mentor o mentee hasta el 10 de abril en el portal del empleado."
POST-008,2026-04-05T10:00:00,Novedades en el sistema de gestion,"El sistema de gestion documental se actualizara el sabado 11 de abril. El acceso estara suspendido desde las 8 p.m. del viernes hasta el domingo al mediodia."
POST-009,2026-04-08T15:30:00,Semana de la innovacion,Esta semana celebramos la Semana de la Innovacion en nuestra empresa. Los invito a participar en las mesas de trabajo por equipos. La agenda esta en la intranet.
POST-010,2026-04-12T09:00:00,Ajuste en politica de teletrabajo,"El comite directivo aprobo los nuevos lineamientos de teletrabajo. Los detalles estan en el portal del empleado desde hoy. Cualquier duda al area de Gestion Humana."
POST-011,2026-04-18T11:30:00,Logros del equipo de ventas,"Felicitaciones a todo el equipo comercial por superar la meta de ventas del primer cuatrimestre. Este resultado refleja nuestro compromiso colectivo, sigamos adelante."
POST-012,2026-04-22T08:45:00,Dia del libro: recomendaciones,"En el Dia Mundial del Libro les comparto tres titulos sobre liderazgo y gestion del cambio que han sido clave en mi desarrollo. Los dejo en los comentarios."
POST-013,2026-04-28T14:00:00,Resultado visita de auditoria externa,"La auditoria externa concluyo sin hallazgos criticos. Agradezco la colaboracion de todo el equipo en la preparacion de los documentos y la atencion a los auditores."
POST-014,2026-05-03T10:00:00,Cierre primer cuatrimestre,"Compartimos el balance del primer cuatrimestre: cerramos con resultados positivos en indicadores de satisfaccion de clientes y eficiencia operativa. Muy buen trabajo."
POST-015,2026-05-07T09:30:00,Convocatoria voluntariado corporativo,"Los invito a participar en la jornada de voluntariado del 24 de mayo. Inscripciones abiertas hasta el 15 de mayo en el portal. Una oportunidad de retribuir a la comunidad."
POST-016,2026-05-10T11:00:00,Actualizacion herramienta de reportes,"La herramienta de reportes fue actualizada. La nueva version incluye dashboards automaticos e integracion con el ERP. Compartan sus comentarios sobre la nueva funcionalidad."
POST-017,2026-05-11T08:00:00,Celebracion dia de la madre,"Queremos reconocer a todas las madres de la empresa. La organizacion ha preparado un detalle que podran recoger en recepcion esta semana. Feliz dia a todas."
POST-018,2026-05-12T15:00:00,Bienvenida nuevo software de RRHH,"A partir del lunes usamos el nuevo modulo de RRHH. Los invito a explorar las nuevas funcionalidades de solicitud de vacaciones y permisos. Tutorial disponible en la intranet."
